Title,Brand,Description
"ASUS ROG Strix G17 17.3"" Gaming Laptop Ryzen 5 5600H RTX 3070 Ti 16GB RAM 1TB SSD","ASUS","Gaming notebook with high refresh display, RTX graphics, fast NVMe SSD storage and 16GB memory."
"HP ProBook 450 G8 15.6"" Laptop i5 16GB 512GB SSD Windows 11","HP","Business notebook with Intel Core i5, 16GB RAM, 512GB SSD, fingerprint reader and Wi-Fi 6."
"Lenovo ThinkPad T14 Gen 3 14"" Ultrabook Ryzen 7 32GB 1TB SSD","Lenovo","Portable business laptop with Ryzen 7, 32GB RAM, 1TB SSD, USB-C docking support."
"Dell Latitude 5520 15.6"" Notebook i7 16GB 256GB SSD","Dell","Enterprise notebook with Intel Core i7, 16GB RAM, 256GB SSD, TPM security."
"Apple MacBook Air 13"" M2 8GB 256GB SSD","Apple","Thin laptop with Apple silicon, fanless design, long battery life and fast SSD."
"Samsung Galaxy Tab S8 11"" 128GB Wi-Fi Tablet","Samsung","Android tablet with 11-inch display, 128GB storage, S Pen support and fast charging."
"Apple iPad 10.9"" 64GB Wi-Fi (10th Gen)","Apple","Tablet with 10.9-inch display, USB-C, 64GB storage and Apple Pencil support."
"Logitech MX Master 3S Wireless Mouse","Logitech","Bluetooth/USB wireless mouse with ergonomic design, quiet clicks, high precision sensor."
"Logitech K380 Bluetooth Keyboard Multi-Device","Logitech","Compact wireless keyboard supporting multiple devices, long battery life."
"Samsung 970 EVO Plus 1TB NVMe M.2 SSD","Samsung","Internal SSD 1TB, NVMe PCIe, high read/write speed for laptops and desktops."
"Seagate Expansion 2TB Portable External HDD USB 3.0","Seagate","External hard drive 2TB for backup and portable storage, USB 3.0 interface."
"Kingston 32GB DDR4 3200MHz Laptop RAM SO-DIMM","Kingston","Memory module 32GB DDR4 3200MHz SO-DIMM for notebook upgrades."
"ASUS TUF Gaming 27"" Monitor 2560x1440 165Hz","ASUS","27-inch gaming monitor, 1440p resolution, 165Hz refresh, adaptive sync support."
"LG 24"" IPS Monitor 1920x1080 Full HD","LG","24-inch IPS display, Full HD 1920x1080, slim bezel, HDMI input."
"Canon PIXMA TS3350 Inkjet Printer All-in-One","Canon","All-in-one printer with Wi-Fi, printing/scanning/copying for home office."
"HP LaserJet Pro M404dn Mono Laser Printer","HP","Monochrome laser printer with duplex printing, fast output and Ethernet."
"Sony WH-1000XM4 Wireless Noise Cancelling Headphones","Sony","Bluetooth headphones with active noise cancelling, long battery life, premium audio."
"JBL Flip 6 Portable Bluetooth Speaker","JBL","Portable speaker with waterproof design, strong bass, USB-C charging."
"TP-Link Archer AX55 Wi-Fi 6 Router AX3000","TP-Link","Dual-band Wi-Fi 6 router, high throughput, WPA3 security, multiple Ethernet ports."
"Anker 65W USB-C Charger GaN (2-Port)","Anker","Compact GaN charger with USB-C Power Delivery, 65W output, fast charging for laptops/phones."